patient_id,p_fname,p_lname,pps_no,gender_id,DOB,phone,email,height,weight,next_of_kin,next_of_kin_tel
1,Pat,Murphy,1234567A,M,10/31/1959,087-1111222,pat@gmail.com,1.8,80.25,Mary Murphy,087-2222111
2,Mary,Walsh,1234567B,F,10/10/1966,086-1111222,maryw@gmail.com,1.68,55,Paul Walsh,085-2222111
3,Paul,St. John,1234567C,M,7/31/1950,085-1111222,paulsj@yahoo.com,1.9,85,Jane St. John,
4,Mary,Walsh,1234567D,F,5/31/1942,083-1111222,mary@yahoo.com,1.52,48,Pat Walsh,
5,Jean,O Brien,1234567E,F,01/22/1967,087-1111333,jean@yahoo.com,1.72,70,Ken Smith,
6,Darragh,Casey,1234567F,M,01/17/1999,086-1111333,darragh@gmail.com,1.81,83.21,Meave Casey,
7,John,Williams,1234567G,M,01/05/2000,085-1111333,,1.6,51.05,Bernie Williams,085-1111333
8,Sean,Walsh,1234567H,M,01/17/2005,083-1111333,,1.48,48,Kathleen Walsh,083-1111333
9,Aaron,Dunphy,1234567I,M,05/02/1987,087-1111444,aaron@gmail.com,1.92,92,Emma Dunphy,
10,Isabel,O Connor,1234567J,F,05/12/1971,086-1111444,isabel@gmail.com,1.69,57,Harry O'Connor,
11,Sinead,Mullholland,1234567K,F,06/02/1979,085-1111444,sinead@gmail.com,1.6,50.3,Lar Murray,
12,Anne,Fitzgerald,1234567L,F,07/18/1985,083-1111444,anne@gmail.com,1.76,72,Luke Fitpatrick,
13,Pat,Comerford,1234567M,M,08/02/1953,087-1111555,pat@gmail.com,1.75,72,Molly Comerford,
14,Carol,Casey,1234567N,F,09/02/1948,086-1111555,,1.8,76.32,Karl Casey,
15,Karl,O Sullivan,1234567O,M,11/02/1963,085-1111555,karl@gmail.com,1.84,75,Jennifer Evans,
16,Pauline,Quinn,1234567P,F,12/02/1968,083-1111555,pauline@gmail.com,1.72,69,John Quinn,
17,Aoife,Halley,1234567Q,F,05/14/1961,087-1111666,aoife@gmail.com,1.61,60,Andy Lawless,
18,Brendan,Phelan,1234567R,M,12/23/2009,086-1111666,,1.78,69,Majella Phelan,086-1111666
19,Tara,Harney,1234567S,F,02/21/1993,085-1111666,tara@gmail.com,1.59,55,Luke Harney,
20,Kelly,Shefflin,1234567T,F,11/04/1999,083-1111666,kelly@gmail.com,1.59,54,Henry Shefflin,
21,TJ,Rielly,1234568A,M,10/31/1959,087-1211222,,1.8,80.25,Mrs Rielly,
22,Karen,Smith,1234568B,F,10/10/1966,086-2111222,,1.68,55,Mr Smith,
23,Tom,Jenkins,1234568c,M,7/31/1988,085-3111222,,1.9,85,Mrs Jenkins,
24,Eimear,Matthews,1234568D,F,5/31/1942,083-4111222,,1.52,48,Mark Matthew,
25,Sinead,Blythe,1234568E,F,01/22/1967,087-5111333,,1.72,70,Daniel Blythe,
26,Simon,Carroll,1234568F,M,01/17/1999,086-6111333,simon@gmail.com,1.81,83.21,Georgina Carroll,
27,Michael,Van Dorn,1234568G,M,01/05/2000,085-7111333,,1.6,51.05,Michelle Cummins,
28,John,Murray,1234568H,M,01/17/2005,083-8111333,,1.48,48,Betty Murray,
29,Tony,Whelan,1234568I,M,05/02/1987,087-9111444,,1.92,92,Sarah Williams,
30,Jenny,Adams,1234568J,F,05/12/1971,086-1211444,ja@gmail.com,1.69,57,Ryan Adams,
31,Allanah,Fitzpatrick,1234568K,F,06/02/1979,085-1311444,allanah@gmail.com,1.6,50.3,Lorcan Fitzpatrick,087-6665555
32,Beth,O Heir,1234568L,F,07/18/1985,083-1411444,,1.76,72,David Murphy,
33,Mark,O Kane,1234568M,M,08/02/1980,087-1511555,,1.75,72,Anne O Kane,
34,Vanessa,Wallace,1234568N,F,09/02/1948,086-1611555,,1.8,76.32,Peter Wallace,
35,William,Wallace,1234568O,M,11/02/1963,085-1711555,,1.84,75,Kate Wallace,
36,Molly,Hoban,1234568P,F,12/02/1968,083-1811555,,1.72,69,Harry Hoban,
37,Anne,Bourke,1234568Q,F,05/14/1961,087-1911666,,1.61,60,Paul Bourke,085-5555444
38,David,Carroll,1234568R,M,12/23/2009,086-1211666,,1.78,69,Patricia Carroll,
39,Deirdre,Walsh,1234568S,F,02/21/1993,085-1311666,deirdre@gmail.com,1.59,55,Tom Walsh,
40,Una,Murphy,1234568T,F,11/04/1999,083-1411666,una@yahoo.com,1.59,54,Colm Murphy,
