staff_id,job_title_id,fname,lname,DOB,gender_id,phone,email,dept_id,salary
1,1,John,Walsh                                             ,01/01/1958,M,087-1111111,john@yahoo.com,GENMED,85000
2,2,Joe,Fitzpatrick                                       ,06/01/1968,M,861234567,,GENMED,55000
3,4,Barry,McDermott                                         ,01/01/1978,M,851234567,,ADMIN,70000
4,8,Kevin,Corcoran                                          ,05/01/1956,M,831234567,kevin@hospital.com,GENMED,105000
5,8,Ciaran,Comerford                                         ,01/01/1958,M,871234566,ciaran@hospital.com,GENMED,101000
6,2,Tom,Redmond                                           ,01/01/1993,M,861234566,,AE,22000
7,2,John,Walsh                                             ,10/01/1991,M,851234566,,GENMED,24000
8,2,Paul,Williams                                          ,01/01/1986,M,831234566,,GENMED,30000
9,6,Darragh,Kelly                                             ,11/01/1995,M,871234565,,GENMED,25000
10,6,Donnachda,Williams                                          ,12/01/1990,M,861234565,,GENMED,25000
11,1,Aiden,Grant                                             ,02/01/1956,M,851234565,,AE,85000
12,2,Patrick,Grant                                             ,03/01/1984,M,831234565,,GENMED,40000
13,1,Tom,Boyle                                             ,04/01/1968,M,871234564,,GENMED,70000
14,10,David,Corcoran                                          ,05/01/1955,M,861234564,david@hospital.com,ADMIN,100000
15,3,Larry,Fitzgerald                                        ,06/01/1968,M,851234564,,AE,35000
16,5,John,Stephenson                                        ,07/01/1969,M,831234564,,GENMED,60000
17,1,John,Evans                                             ,08/01/1972,M,871234563,,GENMED,75000
18,2,Anne,James                                             ,09/01/1975,F,861234563,,GENMED,42000
19,3,Sarah,Barry                                             ,10/01/1974,F,851234563,,ADMIN,35000
20,1,Caitlin,O Carroll                                         ,10/01/1966,F,831234563,caitlin@hospital.com,GENMED,75000
21,4,Catherine,O Sullivab                                        ,06/01/1967,F,871234562,,GENMED,55000
22,2,Mary,Donoghue                                          ,06/01/1969,F,861234562,,AE,45000
23,1,Sarah,Buckley                                           ,07/01/1959,F,851234562,,GENMED,102000
24,1,Zoe,Brennar                                           ,08/01/1962,F,831234562,,GENMED,100000
25,2,Patricia,Casey                                             ,03/01/1972,F,871234561,,GENMED,40000
26,2,Pam,Fenton                                            ,05/01/1977,F,861234561,,GENMED,40000
27,2,Terry,Cahill                                            ,11/01/1981,F,851234561,,GENMED,35000
28,5,Jean,Fitzsimons                                        ,11/01/1970,F,831234561,,GENMED,55000
29,2,Lucy,Moore                                             ,11/01/1989,F,871234560,,GENMED,22000
30,6,Bernie,O Dea                                             ,04/01/1976,F,861234560,,GENMED,25000
31,7,Mary,Malone                                            ,04/01/1958,F,851234560,,GENMED,20000
32,7,Bernie,Martin                                            ,04/01/1958,F,831234560,,GENMED,20000
33,9,Patricia,Casey                                             ,04/01/1958,F,871234569,,GENMED,NULL
34,6,Carol,Cummins                                           ,04/01/1964,F,861234569,,GENMED,25000
35,6,Kate,Lynch                                             ,03/01/1962,F,861234569,,GENMED,25000
